# Column 1-3: misorientation axis in TSL Euler coordinates
# Column 4: alpha (in plane angle)
# Column 5: beta (out of plane angle)
# Column 6: misorientation angle
0.25	-0.77	0.58	288.17	35.36	24.80
0.50	-0.82	0.26	301.49	15.10	47.56
0.39	-0.50	0.77	307.43	50.52	65.33
0.45	0.52	0.72	49.23	46.42	46.83
-0.52	0.45	0.72	139.09	46.03	82.78
-0.67	0.60	0.45	138.13	26.52	39.41
-0.73	0.52	0.46	144.57	27.13	48.29
-0.50	0.87	0.01	119.84	0.39	9.22
-0.46	0.87	0.19	118.25	10.90	9.73
0.90	-0.39	0.21	336.34	11.98	27.64
0.85	-0.53	0.07	328.06	3.82	70.19
-0.52	0.44	0.74	139.53	47.38	24.71
0.08	-0.81	0.57	275.61	35.03	53.14
0.15	-0.68	0.72	282.21	45.84	20.95
0.35	-0.78	0.52	294.22	31.14	21.84
0.60	0.53	0.60	41.86	36.79	79.97
-0.23	0.96	0.16	103.38	9.20	59.49
1.00	-0.07	0.06	355.93	3.25	75.94
-0.98	-0.02	0.20	181.46	11.80	82.50
0.92	-0.38	0.12	337.47	7.16	35.16
0.51	0.73	0.44	55.02	26.30	48.75
-0.11	0.96	0.25	96.28	14.63	41.85
-0.12	0.99	0.10	97.20	5.69	44.65
-0.60	-0.74	0.29	231.00	16.62	85.49
-0.12	0.13	0.98	131.67	79.77	69.28
-0.91	0.39	0.13	157.08	7.27	90.28
0.54	0.03	0.84	3.53	57.15	86.68
0.77	0.49	0.40	32.54	23.28	85.65
0.64	0.46	0.61	35.87	37.51	58.81
-0.46	0.64	0.61	125.78	37.52	55.95
0.67	0.45	0.60	33.89	36.63	52.87
0.22	0.52	0.83	67.19	55.89	85.50
-0.10	-0.22	0.97	245.91	76.24	69.91
0.20	-0.66	0.72	286.76	46.07	93.53
0.16	-0.55	0.82	285.85	55.30	89.27
-0.09	0.04	1.00	154.44	84.50	60.02
-0.11	0.88	0.46	97.31	27.64	44.68
-0.99	0.11	0.01	173.68	0.80	44.05
0.35	0.50	0.79	54.99	52.04	67.56
-0.28	0.87	0.40	107.82	23.77	72.00
-0.72	0.61	0.33	139.56	19.30	43.44
0.89	-0.45	0.04	333.16	2.37	49.76
0.94	-0.31	0.16	341.47	9.16	76.67
0.19	-0.78	0.59	283.43	36.41	63.78
0.16	-0.87	0.47	280.69	27.85	85.52
0.97	-0.21	0.08	347.96	4.71	82.07
0.98	0.15	0.09	8.55	5.21	83.16
0.89	-0.29	0.35	342.21	20.26	28.67
0.75	0.34	0.56	24.30	34.16	65.79
0.90	0.13	0.41	8.09	24.30	79.31
0.78	-0.16	0.60	348.33	36.88	6.39
-0.09	-0.99	0.13	264.63	7.70	30.05
0.61	-0.63	0.48	313.82	28.49	65.97
-0.32	-0.17	0.93	207.04	68.68	71.49
-0.39	-0.56	0.74	235.09	47.31	64.92
-0.64	0.74	0.20	130.76	11.40	32.94
0.91	0.34	0.22	20.62	12.78	20.35
0.18	-0.98	0.00	280.42	0.26	46.88
0.66	0.24	0.71	20.38	45.53	53.05
-0.93	0.37	0.04	157.96	2.37	17.87
-0.59	0.30	0.75	153.35	48.83	28.14
-0.54	0.52	0.66	135.91	41.32	55.25
0.69	-0.68	0.25	315.30	14.21	18.25
0.44	-0.64	0.62	304.45	38.59	43.63
-0.51	-0.28	0.81	209.13	54.25	50.83
0.50	-0.68	0.53	306.44	32.02	51.09
0.42	-0.63	0.65	303.66	40.61	44.52
-0.22	-0.75	0.62	254.03	38.44	29.31
0.99	-0.11	0.03	353.94	1.81	68.04
0.54	-0.25	0.81	335.21	53.82	53.75
0.63	-0.60	0.50	316.19	30.00	53.86
0.85	0.52	0.04	31.32	2.21	39.59
0.98	0.21	0.00	11.87	0.13	72.86
0.94	0.16	0.30	9.47	17.24	75.53
0.71	0.57	0.40	38.65	23.75	38.37
0.68	0.16	0.72	13.00	45.81	44.20
0.42	0.60	0.69	54.81	43.27	43.40
0.89	-0.15	0.43	350.51	25.49	32.17
0.09	0.80	0.60	83.38	36.77	58.52
-0.98	-0.14	0.11	187.87	6.53	47.71
0.30	-0.69	0.66	293.89	41.46	31.61
-0.88	-0.43	0.22	206.02	12.52	82.92
-0.16	0.97	0.19	99.43	11.17	25.22
0.92	0.38	0.08	22.32	4.79	31.40
0.36	0.89	0.29	68.26	16.59	68.92
0.11	0.49	0.86	76.98	59.72	70.80
