# Column 1-3: misorientation axis in TSL Euler coordinates
# Column 4: alpha (in plane angle)
# Column 5: beta (out of plane angle)
# Column 6: misorientation angle
-0.11	0.76	0.64	98.41	40.02	53.79
-0.22	0.24	0.94	132.74	70.87	16.57
-0.90	-0.41	0.13	204.45	7.47	48.09
-0.52	-0.79	0.32	236.34	18.95	36.73
0.19	0.45	0.87	67.02	60.85	12.69
0.56	0.83	0.05	55.94	2.63	2.09
-0.40	-0.77	0.49	242.52	29.16	31.88
-0.32	-0.63	0.71	242.91	45.34	6.97
0.62	0.70	0.35	48.10	20.76	59.28
-0.23	0.94	0.24	103.51	13.95	61.96
0.97	-0.06	0.23	356.45	13.45	62.50
-0.04	0.95	0.30	92.55	17.41	41.27
-0.01	0.57	0.82	91.01	55.14	43.98
1.00	0.07	0.00	3.86	0.15	28.61
0.46	0.44	0.77	43.71	50.08	34.36
0.35	-0.70	0.62	296.23	38.43	29.82
0.91	-0.36	0.18	338.42	10.63	27.64
0.29	0.56	0.78	62.75	51.08	59.17
-0.09	1.00	0.04	95.06	2.53	26.77
-0.90	0.34	0.27	159.33	15.44	57.19
-0.96	0.26	0.06	164.94	3.56	69.14
-0.99	0.12	0.03	173.24	1.83	32.34
-0.91	-0.41	0.10	204.12	5.93	32.04
0.95	0.29	0.08	17.13	4.42	42.64
-0.60	0.52	0.60	139.05	36.80	14.10
-0.44	-0.59	0.68	233.41	42.56	42.83
-0.40	0.89	0.22	114.02	12.65	52.82
0.19	-0.03	0.98	349.90	78.66	82.61
0.12	0.11	0.99	43.93	80.61	64.63
-0.01	0.93	0.37	90.41	21.90	70.79
-0.42	0.83	0.37	116.76	21.88	31.32
0.59	0.72	0.36	50.91	21.36	42.68
0.03	0.72	0.69	87.27	43.80	64.52
-0.85	-0.39	0.35	204.81	20.69	39.93
0.52	-0.42	0.74	320.90	48.13	44.95
0.28	0.02	0.96	4.06	73.91	54.70
0.71	0.63	0.31	41.77	17.82	40.90
-0.14	0.64	0.76	102.04	49.36	100.88
0.28	0.61	0.74	65.59	48.11	52.36
-0.42	0.76	0.49	119.17	29.48	8.69
0.58	-0.79	0.21	306.18	12.10	50.97
0.87	0.34	0.36	21.47	21.22	7.05
-0.23	0.72	0.66	107.93	41.18	70.12
-0.17	0.65	0.74	104.77	47.39	63.59
-0.13	-0.98	0.14	262.73	7.83	70.16
0.19	-0.54	0.82	289.56	54.79	52.47
0.18	-0.77	0.61	283.11	37.56	44.44
-0.89	-0.28	0.36	197.38	21.31	67.88
-0.81	0.21	0.54	165.43	32.72	24.67
-0.99	0.11	0.03	173.65	1.58	43.55
0.98	0.10	0.15	6.02	8.76	46.66
0.80	0.54	0.28	33.91	16.18	48.23
0.79	0.55	0.26	34.56	15.32	50.13
0.89	-0.09	0.44	354.06	26.05	24.42
-0.75	-0.65	0.13	220.91	7.60	72.54
0.76	0.62	0.21	39.42	12.19	47.17
-0.97	-0.04	0.23	182.26	13.16	29.61
-0.92	-0.13	0.38	187.93	22.18	33.61
0.05	0.90	0.44	86.80	25.80	49.67
0.91	-0.38	0.16	337.49	9.12	67.02
0.53	0.30	0.79	29.96	52.40	60.43
-0.18	0.75	0.64	103.70	39.52	20.86
0.99	0.14	0.08	8.28	4.30	66.90
-0.77	-0.63	0.09	219.39	5.03	81.42
0.03	0.89	0.45	88.29	26.51	41.97
-0.42	-0.52	0.75	230.73	48.21	20.93
-0.32	0.48	0.82	123.45	54.96	35.23
-0.75	0.15	0.64	168.91	40.00	51.01
-0.03	0.58	0.81	93.37	54.44	27.07
0.59	-0.75	0.31	308.19	18.29	47.72
-0.42	0.84	0.36	116.65	20.84	52.86
0.46	-0.79	0.41	300.56	24.24	76.06
-0.07	-0.38	0.92	259.46	67.37	27.07
0.58	-0.33	0.75	329.96	48.27	42.97
-0.36	0.62	0.70	120.52	44.20	45.18
0.76	-0.14	0.63	349.53	39.02	35.90
-0.62	0.41	0.67	146.18	42.03	45.71
-0.81	-0.17	0.57	192.20	34.49	39.56
0.19	-0.98	0.12	280.92	6.75	29.18
-0.80	-0.09	0.59	186.58	35.88	49.98
-0.93	-0.08	0.36	185.03	21.20	61.84
-0.99	0.09	0.12	174.69	7.16	19.22
0.98	-0.19	0.09	349.11	4.97	13.33
0.67	-0.60	0.43	318.23	25.66	56.01
0.91	-0.39	0.11	336.73	6.24	72.41
-0.44	0.87	0.21	116.63	12.34	41.10
-0.90	0.30	0.32	161.65	18.62	62.73
-0.45	0.82	0.35	118.89	20.26	53.59
-0.38	-0.82	0.42	245.31	25.12	32.40
-0.17	-0.00	0.99	181.64	80.09	16.44
-0.61	0.15	0.78	165.95	50.97	56.94
-0.37	0.61	0.70	121.51	44.51	95.73
-0.33	0.51	0.79	122.88	52.48	96.94
0.02	-1.00	0.05	271.00	2.80	65.31
-0.33	0.70	0.63	115.58	39.28	92.20
-0.34	-0.07	0.94	191.87	69.84	64.39
-0.67	-0.71	0.20	226.88	11.78	77.79
-0.54	0.68	0.49	128.16	29.41	61.22
